prompt,image_name
"Braised Harissa Chicken in Miso Broth, photorealistic, food styling, high detail, natural lighting",braised_harissa_chicken_in_miso_broth.jpg
"Braised Lamb Shanks and Crispy Shallots, photorealistic, food styling, high detail, natural lighting",braised_lamb_shanks_and_crispy_shallots.jpg
"Braised Pear Galette under Garlic Cream, photorealistic, food styling, high detail, natural lighting",braised_pear_galette_under_garlic_cream.jpg
"Braised Polenta Cakes with Minted Yogurt, photorealistic, food styling, high detail, natural lighting",braised_polenta_cakes_with_minted_yogurt.jpg
"Braised Squid Ink Pasta and Pomegranate Molasses, photorealistic, food styling, high detail, natural lighting",braised_squid_ink_pasta_and_pomegranate_molasses.jpg
"Buttery Cauliflower Steaks with Preserved Lemon, photorealistic, food styling, high detail, natural lighting",buttery_cauliflower_steaks_with_preserved_lemon.jpg
"Buttery Fennel Soup with Saffron Rice, photorealistic, food styling, high detail, natural lighting",buttery_fennel_soup_with_saffron_rice.jpg
"Buttery Leek Frittata with Preserved Lemon, photorealistic, food styling, high detail, natural lighting",buttery_leek_frittata_with_preserved_lemon.jpg
"Buttery Short Ribs with Toasted Walnuts, photorealistic, food styling, high detail, natural lighting",buttery_short_ribs_with_toasted_walnuts.jpg
"Buttery Squid Ink Pasta with Truffle Aioli, photorealistic, food styling, high detail, natural lighting",buttery_squid_ink_pasta_with_truffle_aioli.jpg
"Caramelized Coconut Rice with Saffron Rice, photorealistic, food styling, high detail, natural lighting",caramelized_coconut_rice_with_saffron_rice.jpg
"Caramelized Pumpkin Gnocchi with Chili Oil, photorealistic, food styling, high detail, natural lighting",caramelized_pumpkin_gnocchi_with_chili_oil.jpg
"Charred Chickpea Stew with Pickled Radish, photorealistic, food styling, high detail, natural lighting",charred_chickpea_stew_with_pickled_radish.jpg
"Charred Chickpea Stew with Saffron Rice, photorealistic, food styling, high detail, natural lighting",charred_chickpea_stew_with_saffron_rice.jpg
"Charred Pumpkin Gnocchi and Tahini Drizzle, photorealistic, food styling, high detail, natural lighting",charred_pumpkin_gnocchi_and_tahini_drizzle.jpg
"Creamy Beet Tartare with Tomato Confit, photorealistic, food styling, high detail, natural lighting",creamy_beet_tartare_with_tomato_confit.jpg
"Creamy Fennel Soup with Preserved Lemon, photorealistic, food styling, high detail, natural lighting",creamy_fennel_soup_with_preserved_lemon.jpg
"Creamy Lamb Shanks with Truffle Aioli, photorealistic, food styling, high detail, natural lighting",creamy_lamb_shanks_with_truffle_aioli.jpg
"Creamy Squid Ink Pasta with Pickled Radish, photorealistic, food styling, high detail, natural lighting",creamy_squid_ink_pasta_with_pickled_radish.jpg
"Crispy Chickpea Stew with Toasted Walnuts, photorealistic, food styling, high detail, natural lighting",crispy_chickpea_stew_with_toasted_walnuts.jpg
"Crispy Coconut Rice and Ginger Slaw, photorealistic, food styling, high detail, natural lighting",crispy_coconut_rice_and_ginger_slaw.jpg
